totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 385, 38.5
1, 10000, 3385, 33.85
1, 50000, 0, 0
1, 100000, 1006, 1.006
1, 250000, 93897, 37.5588
1, 500000, 188436, 37.6872
1, 750000, 238087, 31.7449
1, 1e+06, 389559, 38.9559
1, 2e+06, 493273, 24.6636
1, 4e+06, 1.37052e+06, 34.263
3, 15, 0, 0
3, 15000, 11648, 77.6533
