totalClients, totalMessages, totalMessagesLost, lossRate
10, 1000, 563, 56.3
100, 10000, 6827, 68.27
500, 50000, 29400, 58.8
1000, 100000, 60044, 60.044
2500, 250000, 160927, 64.3708
5000, 500000, 296758, 59.3516
7500, 750000, 453919, 60.5225
10000, 1e+06, 536222, 53.6222
