totalClients, totalMessages, totalMessagesLost, lossRate
10, 1000, 489, 48.9
100, 10000, 7341, 73.41
500, 50000, 35693, 71.386
1000, 100000, 72198, 72.198
2500, 250000, 109026, 43.6104
5000, 500000, 386136, 77.2272
7500, 750000, 582163, 77.6217
10000, 1e+06, 770216, 77.0216
