totalClients, totalMessages, totalMessagesLost, lossRate
10, 1000, 597, 59.7
100, 10000, 7271, 72.71
500, 50000, 31102, 62.204
1000, 100000, 59879, 59.879
2500, 250000, 150364, 60.1456
5000, 500000, 265682, 53.1364
7500, 750000, 443803, 59.1737
10000, 1e+06, 602911, 60.2911
