totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 326, 32.6
1, 10000, 2778, 27.78
1, 50000, 17105, 34.21
1, 100000, 35071, 35.071
1, 250000, 85679, 34.2716
1, 500000, 178778, 35.7556
1, 750000, 276009, 36.8012
1, 1e+06, 358333, 35.8333
1, 2e+06, 727119, 36.356
1, 4e+06, 1.24794e+06, 31.1986
