totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 386, 38.6
1, 10000, 3448, 34.48
1, 50000, 13279, 26.558
1, 100000, 34309, 34.309
1, 250000, 73212, 29.2848
1, 500000, 184820, 36.964
1, 750000, 256848, 34.2464
1, 1e+06, 370046, 37.0046
1, 2e+06, 720512, 36.0256
1, 4e+06, 1.47837e+06, 36.9592
