totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 208, 20.8
1, 10000, 3179, 31.79
1, 50000, 17459, 34.918
1, 100000, 32851, 32.851
1, 250000, 90720, 36.288
1, 500000, 180303, 36.0606
1, 750000, 264739, 35.2985
1, 1e+06, 349084, 34.9084
1, 2e+06, 737358, 36.8679
1, 4e+06, 1.30285e+06, 32.5712
