totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 355, 35.5
1, 10000, 3532, 35.32
1, 50000, 16213, 32.426
1, 100000, 35653, 35.653
1, 250000, 86074, 34.4296
1, 500000, 185917, 37.1834
1, 750000, 22444, 2.99253
1, 1e+06, 355164, 35.5164
1, 2e+06, 729933, 36.4967
1, 4e+06, 1.39021e+06, 34.7552
