totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 13, 1.3
1, 10000, 1967, 19.67
1, 50000, 11927, 23.854
1, 100000, 22570, 22.57
1, 250000, 56812, 22.7248
1, 500000, 127459, 25.4918
1, 750000, 180862, 24.1149
1, 1e+06, 224565, 22.4565
1, 2e+06, 472519, 23.6259
1, 4e+06, 922724, 23.0681
