totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 0, 0
1, 10000, 1909, 19.09
1, 50000, 11916, 23.832
1, 100000, 26547, 26.547
1, 250000, 50933, 20.3732
1, 500000, 108646, 21.7292
1, 750000, 164496, 21.9328
1, 1e+06, 196554, 19.6554
1, 2e+06, 438151, 21.9076
1, 4e+06, 1.02089e+06, 25.5224
