totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 119, 11.9
1, 10000, 2217, 22.17
1, 50000, 11967, 23.934
1, 100000, 20617, 20.617
1, 250000, 58811, 23.5244
1, 500000, 110561, 22.1122
1, 750000, 186044, 24.8059
1, 1e+06, 250062, 25.0062
1, 2e+06, 468198, 23.4099
1, 4e+06, 945885, 23.6471
