totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 103, 10.3
1, 10000, 1975, 19.75
1, 50000, 11208, 22.416
1, 100000, 24823, 24.823
1, 250000, 59639, 23.8556
1, 500000, 119690, 23.938
1, 750000, 182845, 24.3793
1, 1e+06, 241926, 24.1926
1, 2e+06, 469832, 23.4916
1, 4e+06, 918381, 22.9595
