totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 390, 39
1, 10000, 3613, 36.13
1, 50000, 38495, 76.99
1, 100000, 35762, 35.762
1, 250000, 2832, 1.1328
1, 500000, 202519, 40.5038
1, 750000, 283596, 37.8128
1, 1e+06, 118486, 11.8486
1, 2e+06, 717842, 35.8921
1, 4e+06, 1.36927e+06, 34.2317
