totalClients, totalMessages, totalMessagesLost, lossRate
1, 1000, 0, 0
1, 10000, 2057, 20.57
1, 50000, 11830, 23.66
1, 100000, 23928, 23.928
1, 250000, 51781, 20.7124
1, 500000, 121644, 24.3288
1, 750000, 207587, 27.6783
1, 1e+06, 228196, 22.8196
1, 2e+06, 486676, 24.3338
1, 4e+06, 941717, 23.5429
